Fichier;Titre;2e titre;Titre original;Compositeur;Auteur;Tonalité;Format;Copyright;Référence;Thème;Air du;Vol.
JEM1032;J'élève;Me voici, je m'abandonne;;Samuel Olivier;Samuel Olivier;Sim;1 voix + tempo;© 2011 Samuel Olivier/LTC;;Louange;;4
JEM1033;Merci, Jésus;Nous regardons tous à la croix;;Siméon et Sylvain Freymond;Siméon et Sylvain Freymond;Do;1 voix;© 2016 Sylvain Freymond et Siméon Freymond;;Sacrifice;;4
JEM1034;Unique, sublime;Ta louange dépasse;;Siméon et Sylvain Freymond;Siméon et Sylvain Freymond;La;1 voix + tempo;© 2016 Sylvain Freymond et Siméon Freymond;;Adoration;;4
JEM1035;Chantez à l'Eternel;Tu es la promesse du printemps;;Samuel Olivier;Samuel Olivier;Mi;1 voix + tempo;© 2013 Samuel Olivier/LTC;;Joie, célébration;;4
JEM1036;Seigneur, attire;Seigneur, attire mon cœur à toi;;Celia Morris;Celia Morris;Ré;1 voix;© Domaine public;;Consécration;AF204;4
JEM1037;Danse;Je cherche ton cœur;Dance;Paulette Wooten et Suzy Wills Yaraei;Paulette Wooten et Suzy Wills Yaraei;Do#m;1 voix;© 2010 Paully Rock Music/Mesha Music Song Solution/LTC;;Danse;;4
JEM1038;Reflets de toi;Mais je sais que ce que je vois;;David Durham;David Durham, Christine et François Reymond;Do;1 voix;© 2014 David Durham, C. et F. Reymond;;Création;;4
JEM1039;Devant toi;Nous voici devant toi;;Benjamin et Thomas Pouzin;Benjamin et Thomas Pouzin;Si;1 voix + tempo;© 2013 Glorious Pop éditions;;Engagement;;4
JEM104;Ton nom;Ton nom, le plus beau nom;His name is the best name;Hugh Mitchell;Hugh Mitchell;Lab;1 voix;© 1951 Singspiration Inc./Harry Fox Music/Small Stone Media/LTC;;Adoration;;1
JEM1040;Comment ne pas t'aimer ?;;;Yves Baron;Yves Baron;Solm;1 voix + tempo;© 2013 Yves Baron/LTC;;Louange;;4
JEM1041;Dieu est puissant;Élevé, il a vaincu la mort;God is able;Ben Fielding et Reuben Morgan;Ben Fielding et Reuben Morgan;Mi;1 voix + tempo + instrumental;© 2010 Hillsong Music Publishing/CopyCare/LTC;;Dieu;;4
JEM1042;Fidèle;Tes bontés se renouvellent;;Pierre-Nicolas de Katow;Pierre-Nicolas de Katow;Mi;1 voix;© 2007 Pierre-Nicolas de Katow/LTC;;Dieu;;4
